sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V
Fresh,LFP,44,147.76458011035479,70.6456977428663,7.4597630209862205,1096.3991105031935,284.0541469544487,13.917594582583686,5.0,30.0,0.04,ICE,SE,,50000x,Two instances one with a new location to account for sample burn,4 (with 52 titl shows 13),30.0,
Fresh,LFP,44,121.14638961943069,69.49627784461029,7.699416036256002,381.8564858988878,293.04912565108197,12.669450744954956,5.0,30.0,0.04,ICE,SE,,50000x,Two instances one with a new location to account for sample burn,4 (with 52 titl shows 13),30.0,
Fresh,LFP,45,135.39835047957922,75.04432907836669,7.495444604388673,1040.7453288302695,310.39992576581267,11.782456718440649,6.0,30.0,0.04,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,46,94.70366194822607,57.373970583474545,7.741871821785007,15392.3887106278,579.6514294072472,3.26810228073434,6.0,30.0,0.0011,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,47,126.77601781662541,69.34601082188004,7.801198184347045,4622.348599686951,429.2611541767072,6.821862906314841,6.0,30.0,0.0077,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,48,129.25955161922442,69.89775140311674,7.672747396537609,1689.0559774695905,313.0746147670267,10.774589757766323,6.0,30.0,0.024,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,49,139.1679558580858,69.3954770097638,7.649206074159359,2173.908991158093,284.4464866978737,12.063570501213265,6.0,15.0,0.022,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,50,51.387074566831686,38.72060216120734,7.048288097195537,11826.536361554694,452.48979671814953,2.10143344838616,6.0,15.0,0.00096,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,51,112.36319487417492,61.346979811946056,7.824526626522324,8569.35852412647,436.22660107376623,5.286229623062321,6.0,15.0,0.0038,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,52,128.55914423473598,64.19692470720503,7.779580629290684,4174.520874793362,332.8032810598809,8.536209572791927,6.0,15.0,0.011,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
