sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V
Fresh,LFP,31,0.53183305,0.2312848042973119,7.633067523470197,0.006185304126099333,0.19194781991285645,14.884609950685844,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,100.0
Fresh,LFP,32,0.5093213,0.22469231363526762,7.621566979820416,0.005199691492220926,0.1789721981010935,16.010075540316315,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,240.0
Fresh,LFP,33,0.5138487,0.3052864612919234,7.817697522671708,0.0016683969593007263,0.210080003066805,30.876862687838322,4.0,5.0,0.8,CBS,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,34,0.47928736,0.3123730510282323,7.821056786259831,0.0015157086889224902,0.11441098673463868,48.63069533045713,4.0,5.0,0.8,CBS,SE,Field-Free,100000x,,4,30.0,
Fresh,LFP,35,0.55477935,0.2643434479335868,7.741383093264666,0.0009965884868428918,0.08318983584196095,70.60303388580425,4.0,10.0,0.8,CBS,SE,Field-Free,100000x,,4,30.0,
Fresh,LFP,36,0.5273107,0.25874098311798843,7.805963498911434,0.0009247246577338766,0.14479234795098664,44.12913037330094,4.0,10.0,0.8,CBS,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,37,0.56202626,0.2404448508326115,7.434694216449218,0.0013371218047413605,0.07698964778711424,63.59299432009976,4.0,15.0,0.8,CBS,SE,Field-Free,100000x,,4,30.0,
Fresh,LFP,38,0.54917026,0.2284310464907402,7.4838957977765315,0.001165950753823968,0.12309484103651551,47.617943812695486,4.0,15.0,0.8,CBS,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,39,0.5117204,0.23517302222383626,7.598526095192392,0.002062025804300862,0.07988145417472703,47.65763432111536,4.0,20.0,0.8,CBS,SE,Field-Free,100000x,,4,30.0,
Fresh,LFP,40,0.5277613,0.22751246232819838,7.653436878377938,0.0016943130656263575,0.11705848233813865,42.32409502747886,4.0,20.0,0.8,CBS,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,41,0.38334075,0.2593560334449809,7.638709304664385,0.00924881139845364,1.1951494931603497,9.140945730903798,5.0,30.0,0.024,ICE,SE,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,42,0.33486187,0.2424396644854713,7.5347219574947975,0.018765220797620493,1.2581667251867643,6.8705044888110045,5.0,30.0,0.0077,ICE,SE,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,43,0.35239235,0.2370316952547382,7.611117262008531,0.10273181996804527,1.8439376427101486,4.128212839924049,5.0,30.0,0.0011,ICE,SE,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,44,0.545811,0.29897322871457627,7.4218452249023,0.019652784287063987,1.2011416682122058,12.136677386526147,5.0,30.0,0.04,ICE,SE,,50000x,Two instances one with a new location to account for sample burn,4 (with 52 titl shows 13),30.0,
Fresh,LFP,44,0.45159248,0.2845389339400209,7.661717249795071,0.0064057001274604435,1.1993300490865662,11.524415603604627,5.0,30.0,0.04,ICE,SE,,50000x,Two instances one with a new location to account for sample burn,4 (with 52 titl shows 13),30.0,
Fresh,LFP,45,0.5038701,0.31115147750756983,7.460755795990428,0.017893377640514067,1.2857166280081482,10.569996344373363,6.0,30.0,0.04,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,46,0.37931374,0.23918528379348486,7.676049592188882,0.26849459855685903,2.4169498449889883,3.1346781454216677,6.0,30.0,0.0011,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,47,0.47030923,0.28628314499220564,7.76551399518725,0.07878840027907995,1.7701494365202501,6.127957902440286,6.0,30.0,0.0077,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,48,0.47404128,0.2922064546098898,7.637557395717385,0.029517075137045757,1.307181388394073,9.44815440047144,6.0,30.0,0.024,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,49,0.5073087,0.29492563887495904,7.6082477382530875,0.03927090693044388,1.2070021975123506,10.344235924309018,6.0,15.0,0.022,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,50,0.29597214,0.2200181055705379,6.991727260415185,0.3846883695728807,2.5870546966575834,2.1226987524782843,6.0,15.0,0.00096,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,51,0.41655466,0.2541015498098367,7.771735574910149,0.14715254307886372,1.804789951027619,4.728894046775628,6.0,15.0,0.0038,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,52,0.45987538,0.273961047537054,7.739001032825072,0.07601918596080515,1.417906838563176,7.154597974001799,6.0,15.0,0.011,ICE,SI,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,53,0.43534175,0.2924309038036483,7.745054581266133,0.06533965577773963,1.1814531980994745,7.439441234631231,7.0,30.0,0.024,ICE,SI,,100000x,faster photo scan 10 us,4 (with 52 titl shows 13),10.0,
Fresh,LFP,54,0.43901324,0.2798354717519501,7.863180034128659,0.16825652254942275,1.7563762010566006,4.754867117042927,7.0,30.0,0.0077,ICE,SI,,100000x,faster photo scan 10 us,4 (with 52 titl shows 13),10.0,
Fresh,LFP,55,0.36586124,0.27216807569041485,7.787157726502463,0.14697048039419403,1.7645140579402794,4.146105895252383,7.0,30.0,0.0077,ICE,SI,,70000x,faster photo scan 10 us,4 (with 52 titl shows 13),10.0,
Fresh,LFP,56,0.3879339,0.2744288744449844,7.818022548828736,0.1547245496725239,1.8493508166439432,4.2518450641492676,7.0,30.0,0.0077,ICE,SI,,70000x,faster photo scan 10 us,4 (with 52 titl shows 13),10.0,
Fresh,LFP,57,0.46735638,0.2953108358537598,7.781314913339327,0.0691051118837631,1.4598413182781742,7.168106858323102,7.0,30.0,0.0077,ICE,SI,,70000x,back to normal slow scan 30 us,4 (with 52 titl shows 13),30.0,
Fresh,LFP,58,0.46735638,0.2953108358537598,7.781314913339327,0.0691051118837631,1.4598413182781742,7.168106858323102,7.0,30.0,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,59,0.47263932,0.2999330797309793,7.781630986198914,0.06848159565028131,1.4731802080007903,7.239216898914889,7.0,30.0,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,60,0.448074,0.2971080993387201,7.783361948554353,0.06662066636862816,1.439581162561936,6.994883131824495,7.0,30.0,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,61,0.4431259,0.297762736329565,7.737832703839881,0.06706003967422003,1.4557312357483505,6.863063292107031,7.0,30.0,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,62,0.45712578,0.29419355782039247,7.776398376179604,0.07543329690902362,1.5170632891587474,6.740043342088802,7.0,30.0,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,63,0.32587382,0.22311727914284774,7.344590942685826,0.0019487515538783428,0.14924737639845614,21.010495367331202,8.0,5.0,0.8,ETD,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,64,0.36903283,0.22660318903338678,7.163958058948308,0.001361368717570612,0.14784440911195795,27.64736541908505,8.0,5.0,1.6,ETD,SE,Field-Free,50000x,"same area as previous, huge drift, due to high current",4,30.0,
Fresh,LFP,65,0.39319572,0.222198525705199,7.2223856184509945,0.005813993118824673,0.1753344085813984,18.240762609870536,8.0,5.0,0.8,ETD,SE,Field-Free,50000x,Different area,4,30.0,
Fresh,LFP,66,0.38808033,0.2760410432553026,7.494824996614486,0.005482215515733619,0.19578531939127325,16.273826632259908,8.0,5.0,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,67,0.42041853,0.29452885301667064,7.443682747889285,0.00910962700492815,0.23432343532206285,12.582342174291249,8.0,5.0,0.2,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,68,0.38963616,0.23564549558974485,7.574794098562532,0.0024783271218767043,0.1599944346117684,24.509348116280307,8.0,5.0,3.2,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,69,0.3217675,0.23393422287605434,6.9822827528398115,0.002629096511864654,0.1601980051177142,17.863146712986584,8.0,5.0,0.8,ETD,SE,Field-Free,50000x,"same as previous, going down in current",4,30.0,
Fresh,LFP,70,0.32861927,0.22504887046837255,7.211638343223928,0.0032574132671810093,0.14820902744049178,16.40894025617745,8.0,10.0,0.8,ETD,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,71,0.2949611,0.1918111058940354,7.044045813282779,0.003846166487132851,0.1420134479450381,13.391921136243113,8.0,15.0,0.8,ETD,SE,Field-Free,50000x,"Same are as previous, high voltage also causes drift",4,30.0,
Fresh,LFP,72,0.3198002,0.1872598654219121,6.8854136501119205,0.005556331983411877,0.157280392142866,13.546813531559973,8.0,20.0,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
